TimeStamp,TravelTime,MAC
1683154753,240,f6:3b:02:e8:07:e1
1683154760,320,d0:2e:ab:7c:ea:b7
1683154761,321,d4:fb:60:50:e6:c7
1683154771,295,cc:03:7b:45:12:b6
1683154769,293,cc:03:7b:56:eb:a7
1683154761,303,e7:3d:83:64:1c:45
1683154789,286,1e:ab:dd:18:d8:d6
1683154769,251,7e:9b:79:07:12:ac
1683154773,254,5f:ad:cb:80:f6:d8
1683154773,254,50:47:81:09:a6:3b
1683154774,255,5e:55:57:d0:62:d9
1683154782,266,6b:f7:ee:5a:ee:f3
1683154804,257,0d:a5:d0:a3:bc:f7
1683154819,311,54:d9:1e:a1:4f:bb
1683154816,255,65:49:ab:a2:e0:30
1683154820,310,f9:40:4a:d2:b7:05
1683154820,313,1d:51:6c:ba:fa:52
1683154816,255,5f:3e:9c:db:c8:1d
1683154817,253,6d:0d:44:0b:d5:c7
1683154836,290,61:46:29:82:30:81
1683154836,289,0c:ac:b5:63:6c:bc
1683154836,289,5c:b9:96:db:c8:51
1683154843,289,d9:91:8a:55:fb:80
1683154849,262,70:5a:33:38:fd:d1
1683154849,262,5d:7e:d3:55:e5:ab
1683154849,263,5f:08:05:27:f9:18
1683154849,262,57:c5:40:81:30:db
1683154849,262,46:e1:da:1a:ac:c9
1683154851,302,4f:d0:1a:56:47:4f
1683154849,262,79:d3:14:f6:45:dc
1683154849,300,59:73:ce:a7:ec:3a
1683154920,293,0b:26:73:5d:ff:44
1683154920,289,49:fe:52:c7:71:64
1683154869,293,16:b5:f2:e1:17:d7
1683154870,292,6f:74:f4:b4:9e:26
1683154880,256,00:25:ca:10:87:f6
1683154899,278,32:be:da:7a:95:4b
1683154895,250,26:42:90:d7:47:aa
1683154902,254,53:93:36:78:40:18
1683154901,248,39:f9:18:d4:06:11
1683154902,247,56:b1:a9:4a:10:7e
1683154902,247,73:42:1c:64:a2:90
1683154903,246,7c:65:6e:b7:e6:29
1683154904,248,76:dc:ef:5b:08:b5
1683154909,249,a4:c1:38:89:40:3d
