TimeStamp,TravelTime,MAC
1683154642,257,0e:4b:6c:a1:14:1a
1683154662,263,48:cf:a8:97:bd:f2
1683154661,261,74:28:c7:55:0a:e3
1683154711,297,72:7c:9d:69:03:b2
1683154716,282,70:8a:be:b8:b5:61
1683154716,282,57:56:a3:26:60:59
1683154717,283,7b:cd:a6:ac:39:f2
1683154748,287,51:bb:4e:86:b7:0a
1683154749,288,6c:2d:01:44:2b:b3
1683154734,282,00:6a:8e:50:03:ac
1683154710,251,5c:23:35:13:98:e6
1683154710,251,2f:0a:b2:80:cd:08
1683154749,288,24:9f:89:a0:ef:a0
1683154711,252,40:64:dd:76:c6:8c
1683154709,250,66:af:c4:f8:16:ee
1683154776,267,56:43:1e:dd:ed:f5
1683154772,253,68:4b:64:1d:b7:b1
1683154775,266,72:df:cf:01:7f:a3
1683154743,233,5f:6c:d5:87:ae:de
1683154800,270,41:5b:bf:b7:d4:5f
1683154846,247,7b:d0:9e:42:71:e9
1683154874,305,3c:49:a7:17:ea:a6
1683154890,309,63:f3:5f:5a:4d:bc
1683154872,303,70:e6:f0:2d:1f:b4
1683154888,311,10:c6:fc:39:76:19
1683154888,310,00:25:ca:41:3e:e8
1683154890,309,10:0e:70:96:b8:9b
1683154893,310,79:f4:b0:87:6c:08
1683154852,249,49:6f:fe:56:6d:dd
1683154876,265,2f:99:08:03:7b:91
1683154870,251,7d:48:39:0b:56:55
1683154876,257,60:60:ec:8b:4d:01
1683154875,264,64:fb:74:0b:c5:bd
1683154871,252,78:60:3d:3c:79:a5
1683154870,259,70:a6:cc:71:5b:f0
1683154930,301,78:f5:d9:84:1a:d2
1683154931,301,00:25:52:da:55:91
1683154940,303,90:f1:57:78:87:f9
1683154939,315,ee:09:4f:30:12:f4
1683154936,303,7f:a6:5c:e7:35:8c
1683154931,302,80:6f:b0:15:52:96
1683154917,277,d2:3a:7b:69:1b:53
1683154898,258,e4:a7:a0:cb:7f:13
1683154898,253,63:83:b9:3c:50:9e
1683154918,265,45:5e:c2:ae:3d:6f
1683154966,275,fc:45:c3:f9:40:18
1683154979,304,d0:33:34:37:55:8b
1683154979,304,90:fd:9f:60:b3:57
1683154939,263,e8:68:d4:65:3a:63
1683154958,274,5b:7f:d4:b1:ff:51
1683154966,277,68:78:df:ef:20:35
1683154986,303,52:10:55:11:f9:9f
1683154963,278,35:11:43:3a:d7:ff
1683154991,296,73:d1:54:b9:65:d5
1683154963,278,3c:cc:7a:0c:86:8d
1683154959,274,58:8e:6d:d9:ef:f8
1683154961,276,31:64:79:c0:0d:9d
1683154962,271,00:a0:50:a0:ba:a1
1683155007,288,22:56:40:69:ab:3c
1683155017,295,90:e8:68:60:12:9c
1683156126,326,b0:b1:13:93:ed:5a
1683155010,277,14:ba:f1:fc:68:8b
1683155011,292,c5:7a:9f:97:bd:a7
1683155025,305,14:13:0b:05:19:96
1683154986,263,49:e5:09:c2:a8:bf
1683155027,285,55:0a:62:b8:9b:e9
1683155026,284,46:3d:7a:dd:36:1e
1683155026,283,7e:b3:5f:6e:33:c2
1683155048,289,64:a9:85:f0:1a:2a
1683155049,293,3b:9c:3d:c1:1b:84
1683155066,297,75:2e:c1:fe:c1:67
1683155040,284,3c:68:16:24:ee:d3
1683155018,249,45:8c:bf:ee:df:90
1683155018,259,41:b6:d5:39:1b:91
1683155018,259,48:a6:35:55:b0:48
